detailedItemId,detailedItemName,itemId
DITM-000290,Prefabricated - Steel Frame,ITM-002030
DITM-000289,Prefabricated - Roofing,ITM-009897
DITM-000288,Prefabricated - Pods,ITM-009784
DITM-000285,Prefabricated - Houses,ITM-009784
DITM-000284,Prefabricated - Health,ITM-009784
DITM-000283,Prefabricated - Granny Flats,ITM-009784
DITM-000282,Prefabricated - Floor,ITM-009896
DITM-000280,Prefabricated - Facades,ITM-001707
DITM-000279,Prefabricated - Educational,ITM-009784
DITM-000278,Prefabricated - Commercial,ITM-009784
DITM-000277,Prefabricated - Apartments,ITM-009784
DITM-000276,Design/ Architect,ITM-001529
DITM-000275,Wave Trap,ITM-009959
DITM-000274,Vibration Dampers,ITM-001890
DITM-000273,UPS System,ITM-001665
DITM-000272,Underground Cables,ITM-002992
DITM-000271,Trenching - Hydro Excavation,ITM-001543
DITM-000270,Trenching,ITM-001543
DITM-000268,Terminations,ITM-009825
DITM-000267,Synchronous Condenser,ITM-008690
DITM-000266,Switchboard 330kv,ITM-002727
DITM-000265,Surveying,ITM-002181
DITM-000263,Substation Design,ITM-002636
DITM-000262,Subsea Trenching,ITM-001543
DITM-000261,Subsea Cables,ITM-001613
DITM-000260,Strain Clamps,ITM-009855
DITM-000259,Steel Reinforcing,ITM-002041
DITM-000258,Spinning Reserve - Flywheel Energy Storage,ITM-009835
DITM-000257,Spinning Reserve - Battery System,ITM-001657
DITM-000256,Spacers and Spaces Dampers,ITM-009826
DITM-000254,Signs - Traffic/Road,ITM-001986
DITM-000247,SCADA System,ITM-002838
DITM-000246,Relay and Metering Panel,ITM-002999
DITM-000245,Project Planning & Management - Power Transmission,ITM-002179
DITM-000243,Power Transmission Tower Fabrication,ITM-002523
DITM-000242,Power Transmission Tower Design,ITM-002636
DITM-000241,Power Transmission Insulators,ITM-004488
DITM-000240,Overhead Power Line Covers,ITM-009832
DITM-000239,Overhead Conductors,ITM-001616
DITM-000238,Other Battery Types,ITM-004280
DITM-000237,Optical Ground Wire/Optical Earth Wire,ITM-001633
DITM-000236,Oil-filled Transformer 66kv,ITM-001644
DITM-000235,Oil-filled Transformer 550kv,ITM-001644
DITM-000234,Oil-filled Transformer 330kv,ITM-001644
DITM-000233,Oil-filled Transformer 232kv,ITM-001644
DITM-000232,Oil-filled Transformer 132kv,ITM-001644
DITM-000230,Metering and Indication Meters,ITM-002981
DITM-000228,Line Surge Arrester,ITM-002562
DITM-000227,Lightning Arrester,ITM-009318
DITM-000226,Isolators,ITM-007626
DITM-000225,Insulation Covers,ITM-009833
DITM-000224,Insulated Switches and Disconnectors,ITM-001627
DITM-000223,Instrument Transformer,ITM-001644
DITM-000221,HV Earthing System,ITM-004210
DITM-000220,HV Circuit Breaker,ITM-002995
DITM-000219,Ground Wire/Earth Wire,ITM-001613
DITM-000218,Fire Suppression Systems,ITM-001899
DITM-000217,Fibre Optic Cable,ITM-001646
DITM-000216,Electrical Pits,ITM-002373
DITM-000215,Electrical Conduit,ITM-001634
DITM-000213,Earthing Fittings,ITM-004210
DITM-000212,Earthing Cable/Earth Stap,ITM-001613
DITM-000211,Earth Rods/ Electrodes and Accessories,ITM-009837
DITM-000210,Dry Transformer 66kv,ITM-001644
DITM-000209,Dry Transformer 550kv,ITM-001644
DITM-000208,Dry Transformer 330kv,ITM-001644
DITM-000207,Dry Transformer 232kv,ITM-001644
DITM-000206,Dry Transformer 132kv,ITM-001644
DITM-000205,Dry Transformer 110kv,ITM-001644
DITM-000204,Disconnecting Circuit Breaker,ITM-002995
DITM-000202,Dead-End Hardware,ITM-008304
DITM-000201,Corona Ring,ITM-009830
DITM-000200,Control Cabinet,ITM-002350
DITM-000199,Connectors and Splices,ITM-009828
DITM-000198,Concrete Surface Treatment and Coatings,ITM-004180
DITM-000197,Concrete Repair Products and Services,ITM-003523
