organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-018056,001ON00000JFAVG,ITM-001717,DITM-000513,Manufacturer,2025-06-01,SM-000485
OC-017982,0012T0000034LZU,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010869,0012T0000034U6X,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018045,0012T0000034U6X,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010765,0012T0000034NCJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017908,0012T0000034NCJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010821,0012T0000034WXN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017984,0012T0000034WXN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010846,0012T00000360LU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018023,0012T00000360LU,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-018021,0012T00000360LU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010755,0012T0000036QG3,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017891,0012T0000036QG3,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017993,0015K000004G2JZ,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-017835,0017F000023LWBX,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010840,0017F000023LY3S,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018014,0017F000023LY3S,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010734,0017F000023LXID,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017861,0017F000023LXID,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017947,0019S0000045HGJ,ITM-009904,DITM-000512,Wholesaler,2025-06-01,SM-000484
OC-010573,0019S000005FD0C,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017839,0019S000005FD0C,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010761,0019S000005J2KP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017902,0019S000005J2KP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010871,0019S000005OLMY,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018047,0019S000005OLMY,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018007,0019S0000061JUZ,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010784,0019S000006US88,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017936,0019S000006US88,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
