sectorMappingId,sectorName
SM-000192,Power Transmission
SM-000191,Power Transmission
SM-000190,Power Transmission
SM-000189,Power Transmission
SM-000188,Power Transmission
SM-000187,Power Transmission
SM-000165,Hydrogen Generation & Storage
SM-000164,Hydrogen Generation & Storage
SM-000163,Hydrogen Generation & Storage
SM-000162,Hydrogen Generation & Storage
SM-000161,Hydrogen Generation & Storage
SM-000160,"Fixtures, Fitting & Equipment"
SM-000153,"Fixtures, Fitting & Equipment"
SM-000152,"Fixtures, Fitting & Equipment"
SM-000151,"Fixtures, Fitting & Equipment"
SM-000150,"Fixtures, Fitting & Equipment"
SM-000148,"Fixtures, Fitting & Equipment"
SM-000147,"Fixtures, Fitting & Equipment"
SM-000146,"Fixtures, Fitting & Equipment"
SM-000140,"Fixtures, Fitting & Equipment"
SM-000139,"Fixtures, Fitting & Equipment"
SM-000138,"Fixtures, Fitting & Equipment"
SM-000137,"Fixtures, Fitting & Equipment"
SM-000136,"Fixtures, Fitting & Equipment"
SM-000135,"Fixtures, Fitting & Equipment"
SM-000134,"Fixtures, Fitting & Equipment"
SM-000133,"Fixtures, Fitting & Equipment"
SM-000132,"Fixtures, Fitting & Equipment"
SM-000131,"Fixtures, Fitting & Equipment"
SM-000130,"Fixtures, Fitting & Equipment"
SM-000129,"Fixtures, Fitting & Equipment"
SM-000128,"Fixtures, Fitting & Equipment"
SM-000127,"Fixtures, Fitting & Equipment"
SM-000126,"Fixtures, Fitting & Equipment"
SM-000125,"Fixtures, Fitting & Equipment"
SM-000124,"Fixtures, Fitting & Equipment"
SM-000123,"Fixtures, Fitting & Equipment"
SM-000122,"Fixtures, Fitting & Equipment"
SM-000121,"Fixtures, Fitting & Equipment"
SM-000120,"Fixtures, Fitting & Equipment"
SM-000119,"Fixtures, Fitting & Equipment"
SM-000118,"Fixtures, Fitting & Equipment"
SM-000117,"Fixtures, Fitting & Equipment"
SM-000116,"Fixtures, Fitting & Equipment"
SM-000115,"Fixtures, Fitting & Equipment"
SM-000114,"Fixtures, Fitting & Equipment"
SM-000113,"Fixtures, Fitting & Equipment"
SM-000112,"Fixtures, Fitting & Equipment"
SM-000111,"Fixtures, Fitting & Equipment"
SM-000110,"Fixtures, Fitting & Equipment"
SM-000109,"Fixtures, Fitting & Equipment"
SM-000107,"Fixtures, Fitting & Equipment"
SM-000106,"Fixtures, Fitting & Equipment"
SM-000105,"Fixtures, Fitting & Equipment"
SM-000104,"Fixtures, Fitting & Equipment"
SM-000103,"Fixtures, Fitting & Equipment"
SM-000102,"Fixtures, Fitting & Equipment"
SM-000101,"Fixtures, Fitting & Equipment"
SM-000100,"Fixtures, Fitting & Equipment"
SM-000099,"Fixtures, Fitting & Equipment"
SM-000098,"Fixtures, Fitting & Equipment"
SM-000097,"Fixtures, Fitting & Equipment"
SM-000096,"Fixtures, Fitting & Equipment"
SM-000095,"Fixtures, Fitting & Equipment"
SM-000094,"Fixtures, Fitting & Equipment"
SM-000093,"Fixtures, Fitting & Equipment"
SM-000092,"Fixtures, Fitting & Equipment"
SM-000091,"Fixtures, Fitting & Equipment"
SM-000487,"Textiles, Clothing & Footwear"
SM-000090,"Fixtures, Fitting & Equipment"
SM-000089,"Fixtures, Fitting & Equipment"
SM-000088,"Fixtures, Fitting & Equipment"
SM-000087,"Fixtures, Fitting & Equipment"
SM-000086,"Fixtures, Fitting & Equipment"
SM-000085,"Fixtures, Fitting & Equipment"
SM-000084,"Fixtures, Fitting & Equipment"
SM-000083,"Fixtures, Fitting & Equipment"
SM-000082,"Fixtures, Fitting & Equipment"
SM-000081,"Fixtures, Fitting & Equipment"
SM-000080,Electric Vehicle Charging Stations
SM-000079,Electric Vehicle Charging Stations
SM-000073,Emerging Storage & Generation
SM-000072,Emerging Storage & Generation
SM-000071,Emerging Storage & Generation
SM-000070,Emerging Storage & Generation
SM-000069,Emerging Storage & Generation
SM-000068,Emerging Storage & Generation
SM-000066,Emerging Storage & Generation
SM-000065,Emerging Storage & Generation
SM-000064,Emerging Storage & Generation
SM-000063,Emerging Storage & Generation
SM-000062,Emerging Storage & Generation
SM-000061,Emerging Storage & Generation
SM-000060,Emerging Storage & Generation
SM-000375,Renewables/ Wind
SM-000340,Renewables/ Solar
SM-000311,Renewables/ Battery
SM-000057,Emerging Storage & Generation
SM-000056,Emerging Storage & Generation
SM-000055,Emerging Storage & Generation
SM-000052,Emerging Storage & Generation
SM-000051,Emerging Storage & Generation
SM-000050,Emerging Storage & Generation
SM-000049,Emerging Storage & Generation
SM-000048,Emerging Storage & Generation
SM-000212,Power Transmission
SM-000047,Emerging Storage & Generation
SM-000046,Emerging Storage & Generation
SM-000045,Emerging Storage & Generation
SM-000044,Emerging Storage & Generation
SM-000043,Emerging Storage & Generation
SM-000042,Emerging Storage & Generation
SM-000041,Emerging Storage & Generation
SM-000040,Emerging Storage & Generation
SM-000039,Emerging Storage & Generation
SM-000038,Emerging Storage & Generation
SM-000037,Emerging Storage & Generation
SM-000036,Additive Manufacturing
SM-000035,Additive Manufacturing
SM-000034,Additive Manufacturing
SM-000033,Additive Manufacturing
SM-000032,Additive Manufacturing
SM-000031,Additive Manufacturing
SM-000030,Additive Manufacturing
SM-000029,Additive Manufacturing
SM-000028,Additive Manufacturing
SM-000026,Additive Manufacturing
SM-000025,Additive Manufacturing
SM-000024,Additive Manufacturing
