Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,mechanical - condenser,ITM-009932,Condenser,OC-013768,,001On00000OCsix,Service Provider,1/06/2025,5 Railway Ave,Bright,VIC ,3741,,,"5 Railway Ave, Bright, VIC, 3741",-36.7299452,146.9583978,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013780,,001On00000OCsj3,Service Provider,1/06/2025,1585 Dandenong Hastings Rd,Langwarrin,VIC,3910,,,"1585 Dandenong Hastings Rd, Langwarrin, VIC, 3910",-38.1753097,145.2201005,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013704,,001On00000OCsj4,Service Provider,1/06/2025,13 Lee Ann Crescent,Croydon,VIC,3136,,,"13 Lee Ann Crescent, Croydon, VIC, 3136",-37.7767978,145.3014645,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013786,,001On00000OCsj6,Service Provider,1/06/2025,31 Optic Way, Carrum Downs ,VIC ,3201,,,"31 Optic Way, Carrum Downs, VIC, 3201",-38.0868947,145.1757472,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013788,,001On00000OCsj7,Service Provider,1/06/2025,3 Perkin Court,Dandenong,VIC ,3175,,,"3 Perkin Court, Dandenong, VIC, 3175",-37.9735978,145.2032166,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013791,,001On00000OCsj8,Service Provider,1/06/2025,M27/2 Cowpasture Pl,Wetherill Park,NSW,2164,,,"M27/2 Cowpasture Pl, Wetherill Park, NSW, 2164",,,,failed
,,mechanical - condenser,ITM-009932,Condenser,OC-013793,,001On00000OCsj9,Service Provider,1/06/2025,8-10 Bray Avenue,TORRENSVILLE,SA,5031,,,"8-10 Bray Avenue, TORRENSVILLE, SA, 5031",-34.9165505,138.5561745,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013794,,001On00000OCsjA,Service Provider,1/06/2025,15/9 Mirra Crt,Bundoora,VIC,3083,,,"15/9 Mirra Crt, Bundoora, VIC, 3083",-37.7029802,145.0699026,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013796,,001On00000OCsjB,Service Provider,1/06/2025,21/1488 Ferntree Gully Rd,Knoxfield,VIC,3180,,,"21/1488 Ferntree Gully Rd, Knoxfield, VIC, 3180",-37.8988533,145.2432996,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013654,,001On00000OCsjF,Item Supplier,1/06/2025,62 Industrial Drive,North Boambee Valley,NSW,2450,,,"62 Industrial Drive, North Boambee Valley, NSW, 2450",-30.3126346,153.0833018,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013667,,001On00000OCsjH,Item Supplier,1/06/2025,10 Watervale Drive,Green Fields,SA,5107,,,"10 Watervale Drive, Green Fields, SA, 5107",-34.7956898,138.6059541,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013682,,001On00000OCsjO,Manufacturer,1/06/2025,12 McKechnie Drive,Eight Mile Plains,QLD,4113,,,"12 McKechnie Drive, Eight Mile Plains, QLD, 4113",-27.5772931,153.0968327,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013664,,001On00000OCsjW,Item Supplier,1/06/2025,78 Colebard Street West,Acacia Ridge,QLD,4110,,,"78 Colebard Street West, Acacia Ridge, QLD, 4110",-27.5786291,153.0040542,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013658,,001On00000OCsjY,Item Supplier,1/06/2025,420 Bilsen Road,GEEBUNG,QLD,4034,,,"420 Bilsen Road, GEEBUNG, QLD, 4034",-27.3711504,153.0558211,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013686,,001On00000OCsja,Manufacturer,1/06/2025,15/9 Mirra Crt,Bundoora,VIC,3083,,,"15/9 Mirra Crt, Bundoora, VIC, 3083",-37.7029802,145.0699026,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013684,,001On00000OCsjb,Manufacturer,1/06/2025,21/1488 Ferntree Gully Rd,Knoxfield,VIC,3180,,,"21/1488 Ferntree Gully Rd, Knoxfield, VIC, 3180",-37.8988533,145.2432996,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013689,,001On00000OCsjc,Manufacturer,1/06/2025,100 Atlantic Drive,Keysborough,VIC ,3173,,,"100 Atlantic Drive, Keysborough, VIC, 3173",-38.0185178,145.1853267,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013717,,001On00000OCsjd,Service Provider,1/06/2025,"Unit 2, 67 Export Drive",East Arm,NT,822,,,"Unit 2, 67 Export Drive, East Arm, NT, 822",,,,failed
,,mechanical - condenser,ITM-009932,Condenser,OC-013735,,001On00000OCsje,Service Provider,1/06/2025,11 Cousin Street,Winnellie,NT,820,,,"11 Cousin Street, Winnellie, NT, 820",-12.4275839,130.8722609,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013741,,001On00000OCsjf,Service Provider,1/06/2025,62 Industrial Drive,North Boambee Valley,NSW,2450,,,"62 Industrial Drive, North Boambee Valley, NSW, 2450",-30.3126346,153.0833018,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013691,,001On00000OCsjj,Service Provider,1/06/2025,19 Simpson Street,Moorabbin East,VIC,3093,,,"19 Simpson Street, Moorabbin East, VIC, 3093",-37.9477117,145.0760834,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013670,,001On00000OCsjk,Item Supplier,1/06/2025,14 Dennis St, Campbellfield,VIC,3061,,,"14 Dennis St, Campbellfield, VIC, 3061",-37.6465524,144.9411419,nominatim,success
,,mechanical - condenser,ITM-009932,Condenser,OC-013690,,001On00000OCsjl,Manufacturer,1/06/2025,80 Turner Street,PORT MELBOURNE,VIC,3207,,,"80 Turner Street, PORT MELBOURNE, VIC, 3207",-37.8245262,144.9253671,nominatim,success
Subtotal,Count,167,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,,,,,,skipped
DITM-000469,,air compressor,ITM-002679,Compressor,OC-013620,,0012t000002XWuU,Service Provider,1/06/2025,7 Mint St,Wodonga,VIC,3690,SM-000438,HVAC,"7 Mint St, Wodonga, VIC, 3690",-36.1235733,146.8970813,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013641,,0015K0000044tU7,Service Provider,1/06/2025,92 Archies Creek Road,Archies Creek,VIC,3995,,,"92 Archies Creek Road, Archies Creek, VIC, 3995",-38.548363,145.5636441,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013520,,0015K0000045e1L,Item Supplier,1/06/2025,465 Auburn Road,Hawthorn East,VIC,3123,,,"465 Auburn Road, Hawthorn East, VIC, 3123",-37.8159401,145.0463162,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013522,,0015K0000045izn,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013589,,0015K000004DKeU,Service Provider,1/06/2025,76 Heathcote Road,Moorebank,New South Wales,2170,,,"76 Heathcote Road, Moorebank, New South Wales, 2170",-33.941018,150.9418492,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013541,,0015K000004DpOu,Service Provider,1/06/2025,Abbott Road,Hallam,VIC,3803,,,"Abbott Road, Hallam, VIC, 3803",-38.0098256,145.2639429,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013600,,0015K000004P53J,Service Provider,1/06/2025,"Cnr Strickland Rd &, Beischer St",East Bendigo,VIC,3550,,,"Cnr Strickland Rd &, Beischer St, East Bendigo, VIC, 3550",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013646,,0015K000004Ry3H,Wholesaler,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013609,,0015K000004SS0b,Service Provider,1/06/2025,14 Trade Place,Vermont,VIC,3133,,,"14 Trade Place, Vermont, VIC, 3133",-37.8343578,145.1860016,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013595,,0015K000004cgLM,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013572,,0015K000004frvl,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013547,,0019s000002QxIK,Service Provider,1/06/2025,Factory 1 210-218 Boundary Road,Braeside,VIC,3195,,,"Factory 1 210-218 Boundary Road, Braeside, VIC, 3195",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013617,,0019s00000417qv,Service Provider,1/06/2025,32 Fiveways Blvd,Keysborough,VIC,3173,,,"32 Fiveways Blvd, Keysborough, VIC, 3173",-37.9901879,145.1504823,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013627,,0019s000004PmkJ,Service Provider,1/06/2025,"Unit 9, 25 Conquest Way",Hallam,VIC,3803,,,"Unit 9, 25 Conquest Way, Hallam, VIC, 3803",,,,failed
,,air compressor,ITM-002679,Compressor,OC-007951,,0019s000004aBm6,Manufacturer,1/06/2025,109-111 Northcorp Boulevard,Broadmeadows,VIC,3047,,,"109-111 Northcorp Boulevard, Broadmeadows, VIC, 3047",-37.6821677,144.9493745,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013533,,0019s000004aBm6,Manufacturer,1/06/2025,109-111 Northcorp Boulevard,Broadmeadows,VIC,3047,,,"109-111 Northcorp Boulevard, Broadmeadows, VIC, 3047",-37.6821677,144.9493745,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013610,,0019s000005CKSR,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013516,,0019s000005J1AW,Item Supplier,1/06/2025,6-10 Souffi Place,DANDENONG SOUTH,VIC,3175,,,"6-10 Souffi Place, DANDENONG SOUTH, VIC, 3175",-38.0315538,145.1958594,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013571,,0019s000005wCep,Service Provider,1/06/2025,1 Chifley Drive,Moorabbin Airport,VIC ,3194,,,"1 Chifley Drive, Moorabbin Airport, VIC, 3194",-37.972656,145.1065059,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013544,,0019s0000061Rmf,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013621,,0019s000006mDhp,Service Provider,1/06/2025,108 Pruen Road,BERRIMAH,NT,828,,,"108 Pruen Road, BERRIMAH, NT, 828",-12.4368299,130.9279581,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013505,,0019s000006zuVO,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013612,,0019s000007Bsct,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013567,,0019s000007DhvU,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013514,,0019s000007HtK2,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013636,,0019s000007TTp9,Service Provider,1/06/2025,43 Frankston Gardens Drive,Carrum Downs,VIC,3201,,,"43 Frankston Gardens Drive, Carrum Downs, VIC, 3201",-38.1035837,145.1601068,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013594,,0019s000007nxbD,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013645,,0019s000007sm2D,Wholesaler,1/06/2025,118 Burwood Hwy,Burwood,VIC,3125,,,"118 Burwood Hwy, Burwood, VIC, 3125",-37.8508363,145.1014698,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013509,,001On000001Jx2Y,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-007948,,001On000001NqOj,Manufacturer,1/06/2025,"100 Atlantic Drive,",Keysborough,VIC,3173,,,"100 Atlantic Drive, Keysborough, VIC, 3173",-38.0185178,145.1853267,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013530,,001On000001NqOj,Manufacturer,1/06/2025,"100 Atlantic Drive,",Keysborough,VIC,3173,,,"100 Atlantic Drive, Keysborough, VIC, 3173",-38.0185178,145.1853267,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013511,,001On000001O4TM,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013503,,001On000001UnMM,Item Supplier,1/06/2025,36 Fennell St,Port Melbourne,VIC,3207,,,"36 Fennell St, Port Melbourne, VIC, 3207",-37.8286544,144.9383796,nominatim,success
