Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,air compressor,ITM-002679,Compressor,OC-013644,,001On000001cKA1,Wholesaler,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013517,,001On0000021P1q,Item Supplier,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013558,,001On00000241Xl,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013540,,001On000004Ardo,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013506,,001On000004lNQL,Item Supplier,1/06/2025,Suite 5/205-211 Forster Rd,Mount Waverley,VIC ,3149,,,"Suite 5/205-211 Forster Rd, Mount Waverley, VIC, 3149",-37.8992734,145.1286438,photon,success
,,air compressor,ITM-002679,Compressor,OC-013585,,001On000005aM5a,Service Provider,1/06/2025,54 Duerdin St,Clayton,VIC,3168,,,"54 Duerdin St, Clayton, VIC, 3168",-37.9105567,145.1459436,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-007952,,001On000006HSsa,Manufacturer,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013534,,001On000006HSsa,Manufacturer,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-007950,,001On000007pH4U,Manufacturer,1/06/2025,2 Ashford Avenue,Milperra,NSW,2214,,,"2 Ashford Avenue, Milperra, NSW, 2214",-33.9343835,150.9899318,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013532,,001On000007pH4U,Manufacturer,1/06/2025,2 Ashford Avenue,Milperra,NSW,2214,,,"2 Ashford Avenue, Milperra, NSW, 2214",-33.9343835,150.9899318,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013551,,001On000008cBFa,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013537,,001On00000AlyNy,Service Provider,1/06/2025,23-29 Factory Road,GRANVILLE,NSW,2142,,,"23-29 Factory Road, GRANVILLE, NSW, 2142",-33.8469243,151.0481503,photon,success
,,air compressor,ITM-002679,Compressor,OC-007949,,001On00000Ark3y,Manufacturer,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013531,,001On00000Ark3y,Manufacturer,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-007944,,001On00000As3BJ,Manufacturer,1/06/2025, 04-103/152 Elizabeth St,Melbourne,VIC ,3000,,,"04-103/152 Elizabeth St, Melbourne, VIC, 3000",-37.8144604,144.9635452,photon,success
,,air compressor,ITM-002679,Compressor,OC-013526,,001On00000As3BJ,Manufacturer,1/06/2025, 04-103/152 Elizabeth St,Melbourne,VIC ,3000,,,"04-103/152 Elizabeth St, Melbourne, VIC, 3000",-37.8144604,144.9635452,photon,success
,,air compressor,ITM-002679,Compressor,OC-013548,,001On00000BMHa9,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013591,,001On00000CJjQs,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
,,air compressor,ITM-002679,Compressor,OC-013592,,001On00000Ces2w,Service Provider,1/06/2025,C/- AUSTRALASIAN MARITIME GROUP,REDBANK,VIC,3003,,,"C/- AUSTRALASIAN MARITIME GROUP, REDBANK, VIC, 3003",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013521,,001On00000ChH2B,Item Supplier,1/06/2025,8 TOUPEIN ROAD,PALMERSTON,NT,830,,,"8 TOUPEIN ROAD, PALMERSTON, NT, 830",-12.4721504,130.9892027,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013507,,001On00000G0jc5,Item Supplier,1/06/2025, 1 Complex Close,Pahenham,VIC,3803,,,"1 Complex Close, Pahenham, VIC, 3803",-38.0959482,145.4959027,photon,success
,,air compressor,ITM-002679,Compressor,OC-013577,,001On00000GZUf8,Service Provider,1/06/2025,#N/A,#N/A,#N/A,#N/A,,,,,,,skipped
