Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name
,,electrical - switchboards,ITM-002727,Switchboards,OC-000588,,001On00000Jfa2p,Manufacturer,1/09/2023,"27-29 Mandarin Road,",Maddington,WA,6109,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006088,,001On00000Jfa2p,Manufacturer,1/09/2023,"27-29 Mandarin Road,",Maddington,WA,6109,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003624,,001On00000Jfa3e,Service Provider,1/09/2023,"145 Firmins Lane,",Morwell,VIC,3840,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003623,,001On00000Jfa3e,Service Provider,1/09/2023,"145 Firmins Lane,",Morwell,VIC,3840,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003622,,001On00000Jfa3e,Service Provider,1/09/2023,"145 Firmins Lane,",Morwell,VIC,3840,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003573,,001On00000Jfa3e,Service Provider,1/09/2023,"145 Firmins Lane,",Morwell,VIC,3840,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003574,,001On00000Jfa3f,Service Provider,1/09/2023,"8/ 13 - 17 Crawford St,",Braeside,VIC,3195,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003642,,001On00000Jfa81,Service Provider,1/09/2023,"1 Roberts Road,",Subiaco,WA,6008,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003641,,001On00000Jfa81,Service Provider,1/09/2023,"1 Roberts Road,",Subiaco,WA,6008,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003640,,001On00000Jfa81,Service Provider,1/09/2023,"1 Roberts Road,",Subiaco,WA,6008,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003590,,001On00000Jfa81,Service Provider,1/09/2023,"1 Roberts Road,",Subiaco,WA,6008,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003633,,001On00000Jfa84,Service Provider,1/09/2023,"24 Shoobridge Circuit,",Dunlop,ACT,2615,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003632,,001On00000Jfa84,Service Provider,1/09/2023,"24 Shoobridge Circuit,",Dunlop,ACT,2615,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003631,,001On00000Jfa84,Service Provider,1/09/2023,"24 Shoobridge Circuit,",Dunlop,ACT,2615,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003615,,001On00000Jfa84,Service Provider,1/09/2023,"24 Shoobridge Circuit,",Dunlop,ACT,2615,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000650,,001On00000Jfa99,Manufacturer,1/09/2023,"14 Laverick Avenue,",Tomago,NSW,2322,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000649,,001On00000Jfa99,Manufacturer,1/09/2023,"14 Laverick Avenue,",Tomago,NSW,2322,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000648,,001On00000Jfa99,Manufacturer,1/09/2023,"14 Laverick Avenue,",Tomago,NSW,2322,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006085,,001On00000Jfa99,Manufacturer,1/09/2023,"14 Laverick Avenue,",Tomago,NSW,2322,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000611,,001On00000JfaA8,Manufacturer,1/09/2023,"494 Stuart Highway,",Winnellie,NT,820,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000610,,001On00000JfaA8,Manufacturer,1/09/2023,"494 Stuart Highway,",Winnellie,NT,820,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000609,,001On00000JfaA8,Manufacturer,1/09/2023,"494 Stuart Highway,",Winnellie,NT,820,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006084,,001On00000JfaA8,Manufacturer,1/09/2023,"494 Stuart Highway,",Winnellie,NT,820,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000608,,001On00000JfaAT,Manufacturer,1/09/2023,"316-318 Lower Dandenong Rd,",Mordialloc,VIC,3195,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000607,,001On00000JfaAT,Manufacturer,1/09/2023,"316-318 Lower Dandenong Rd,",Mordialloc,VIC,3195,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000606,,001On00000JfaAT,Manufacturer,1/09/2023,"316-318 Lower Dandenong Rd,",Mordialloc,VIC,3195,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006095,,001On00000JfaAT,Manufacturer,1/09/2023,"316-318 Lower Dandenong Rd,",Mordialloc,VIC,3195,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000662,,001On00000JfaAg,Manufacturer,1/09/2023,"98 Kleinton School Rd,",Kleinton,QLD,4352,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000661,,001On00000JfaAg,Manufacturer,1/09/2023,"98 Kleinton School Rd,",Kleinton,QLD,4352,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-000660,,001On00000JfaAg,Manufacturer,1/09/2023,"98 Kleinton School Rd,",Kleinton,QLD,4352,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006078,,001On00000JfaAg,Manufacturer,1/09/2023,"98 Kleinton School Rd,",Kleinton,QLD,4352,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-006079,,001On00000JfaDv,Manufacturer,1/09/2023,"50 Boulder Road,",Malaga,WA,6090,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003576,,001On00000JfaEw,Service Provider,1/09/2023,"10 Access Avenue,",Yatala,QLD,4207,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003653,,001On00000JfaFO,Service Provider,1/09/2023,"20-22 Hume Road,",Laverton North,VIC,3026,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003652,,001On00000JfaFO,Service Provider,1/09/2023,"20-22 Hume Road,",Laverton North,VIC,3026,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003651,,001On00000JfaFO,Service Provider,1/09/2023,"20-22 Hume Road,",Laverton North,VIC,3026,,
,,electrical - switchboards,ITM-002727,Switchboards,OC-003602,,001On00000JfaFO,Service Provider,1/09/2023,"20-22 Hume Road,",Laverton North,VIC,3026,,
